2026-05-26 15:42:18 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/notification.js | Time: 0ms
2026-05-26 15:42:18 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal.js | Time: 8ms
2026-05-26 15:42:18 [http-nio-8080-exec-10] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal-configs.js | Time: 0ms
2026-05-26 15:42:18 [http-nio-8080-exec-8] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/validation/auth/sign-in.js | Time: 1ms
2026-05-26 15:42:18 [http-nio-8080-exec-3] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/validation/form-validation.js | Time: 0ms
2026-05-26 15:42:21 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: POST | URI: /e_learning_war_exploded/sign-in | Time: 1040ms
2026-05-26 15:42:22 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/admin/dashboard | Time: 933ms
2026-05-26 15:42:22 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/layouts/header-admin.css | Time: 4ms
2026-05-26 15:42:22 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/layouts/admin.css | Time: 5ms
2026-05-26 15:42:22 [http-nio-8080-exec-9] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/layouts/sidebar-admin.css | Time: 5ms
2026-05-26 15:42:22 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/base/base.css | Time: 2ms
2026-05-26 15:42:22 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/normalize.css-master/normalize.css | Time: 3ms
2026-05-26 15:42:23 [http-nio-8080-exec-10] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/fontawesome-free-7.1.0-web/css/all.min.css | Time: 3ms
2026-05-26 15:42:23 [http-nio-8080-exec-3] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/component/notification.css | Time: 1ms
2026-05-26 15:42:23 [http-nio-8080-exec-8] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/css/admin/pages/dashboard.css | Time: 1ms
2026-05-26 15:42:23 [http-nio-8080-exec-5] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/security/security.js | Time: 0ms
2026-05-26 15:42:23 [http-nio-8080-exec-2] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/ui/notification.js | Time: 1ms
2026-05-26 15:42:23 [http-nio-8080-exec-1] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal-configs.js | Time: 1ms
2026-05-26 15:42:23 [http-nio-8080-exec-4] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/javascript/component/modal/modal.js | Time: 2ms
2026-05-26 15:42:23 [http-nio-8080-exec-7] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/static/Roboto-SemiBold.ttf | Time: 2ms
2026-05-26 15:42:23 [http-nio-8080-exec-9] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/static/Roboto-Bold.ttf | Time: 3ms
2026-05-26 15:42:23 [http-nio-8080-exec-6] INFO  v.e.n.f.e.c.filter.LoggingFilter - IP: 0:0:0:0:0:0:0:1 | Method: GET | URI: /e_learning_war_exploded/assets/fonts/static/Roboto-Regular.ttf | Time: 3ms
